run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,1,100_256_230_100_267_25,historic_runs,,,,,,
2,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Dahme-Spreewald,,,,,
3,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
4,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
5,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
6,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
7,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
8,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
9,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
10,TRUE,fixed,auto,WW_sfix_hauto,sim.json,crop.json,site.json,FALSE,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,01/01/1999,31/12/2019,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,0.73,100_256_230_100_267_25,historic_runs,Göttingen,,,,,
